,Tweets,Writer
107,for all of us who love this country and are willing to do our part to make sure it lives up to its highest ideals – now’s the time to fight for what we believe in. join us at  and i’ll see you on the campaign trail as soon as i can.,BarackObama
108,i’m proud to endorse my friend  for president of the united states. let's go ,BarackObama
109,"dreamers have contributed so much to our country, and they are risking their lives fighting on the frontlines of this pandemic. they deserve permanent immigration status and a pathway to citizenship—as they are americans in every way but on paper. ",BarackObama
110,"we can't deny that racial and socioeconomic factors are playing a role in who is being hit the hardest by the virus. it's a reminder for our policymakers to keep our most vulnerable communities at the forefront when making decisions.
",BarackObama
111,"although our celebrations may look different this year, our unwavering faith remains the same. for me, easter is a time of hope––a reminder of rebirth and renewal––and a belief in a better day to come. from my family to yours, we wish you all a blessed and joyful easter. ",BarackObama
112,let’s not use the tragedy of a pandemic to compromise our democracy. check the facts of vote by mail. ,BarackObama
113,"everyone should have the right to vote safely, and we have the power to make that happen. this shouldn't be a partisan issue. ",BarackObama
114,no one should be forced to choose between their right to vote and their right to stay healthy like the debacle in wisconsin this week. ,BarackObama
115,"some good news states that started social distancing early and aggressively, like california, have avoided overwhelmed health care systems. it’s critical that we continue to listen to the evidence and experts and practice social distancing. ",BarackObama
116,"mayors have been working hard to help us get through this pandemic, and they’ll have just as big a task to help people through hard times ahead. i spent some time with many of them today to thank them for their efforts, and asked them to keep up the good work. ",BarackObama
117,"through centuries of persecution, exile and struggle, the story of passover has reminded the jewish people––and all of humanity––of the power to overcome even the greatest of odds. michelle and i send our warmest wishes to those celebrating with loved ones at home or virtually.",BarackObama
118,"social distancing bends the curve and relieves some pressure on our heroic medical professionals. but in order to shift off current policies, the key will be a robust system of testing and monitoring – something we have yet to put in place nationwide. ",BarackObama
119,"my advisor and friend  has been someone i’ve turned to for years. in her new book, more than ready, she shares her story and an empowering message to women, especially women of color, that they are the leaders we need to make a change in our world. ",BarackObama
120,"it’s world health day, and we owe a profound debt of gratitude to all our medical professionals. they’re still giving their all for us every day, at great risk to themselves, and we can’t thank them enough for their bravery and their service.",BarackObama
121,"bill withers was a true american master. his music, rooted in the everyday joys and sorrows of working people, was soulful, wise and life-affirming––a perfect tonic for hard times. ",BarackObama
122,"as she often does,  provides a cogent summary of how federal policymakers should be thinking about the pandemic in the coming months. ",BarackObama
123,"it's census day and we all have a crucial role to play. filling out the 2020 census determines what the next decade will look like for your community your roads, health care, schools, representation and more. takes a few minutes by mail, phone or online. ",BarackObama
124,"we've seen all too terribly the consequences of those who denied warnings of a pandemic. we can't afford any more consequences of climate denial. all of us, especially young people, have to demand better of our government at every level and vote this fall. ",BarackObama
